name,genre,platform,user_score,critic_score,global_sales
Sonic and the Secret Rings,Platform,Wii,6.6,69.0,2.73
The Legend of Zelda: A Link to the Past,Action,GBA,9.1,95.0,2.7
Onimusha: Warlords,Action,PS2,8.2,86.0,2.7
L.A. Noire,Adventure,X360,7.8,89.0,2.7
Call of Duty 3,Shooter,X360,6.5,82.0,2.7
Madden NFL 12,Sports,X360,5.9,78.0,2.69
LEGO Star Wars II: The Original Trilogy,Action,PS2,9.0,84.0,2.69
Killzone: Shadow Fall,Shooter,PS4,6.8,73.0,2.69
Madden NFL 11,Sports,X360,5.7,84.0,2.69
Burnout 3: Takedown,Racing,PS2,9.1,93.0,2.68
Mario vs. Donkey Kong: Mini-Land Mayhem!,Puzzle,DS,7.7,79.0,2.67
Professor Layton and the Last Specter,Puzzle,DS,8.7,83.0,2.67
Call Of Duty 2: Big Red One,Shooter,PS2,8.2,77.0,2.67
Medal of Honor,Shooter,PS,8.6,92.0,2.67
Fable,Role-Playing,XB,8.5,85.0,2.66
Guitar Hero: World Tour,Misc,X360,6.3,85.0,2.66
FIFA 17,Sports,XOne,5.5,84.0,2.65
Tom Clancy's Splinter Cell,Action,PS2,7.7,89.0,2.65
Need for Speed: Shift,Racing,PS3,6.9,84.0,2.65
Medal of Honor Heroes,Shooter,PSP,7.9,71.0,2.65
Final Fantasy XIII-2,Role-Playing,PS3,6.6,79.0,2.63
Midnight Club: Street Racing,Racing,PS2,7.8,78.0,2.63
Skate 3,Sports,X360,8.0,80.0,2.63
ESPN NFL 2K5,Sports,PS2,8.2,90.0,2.62
Halo Wars,Strategy,X360,7.2,82.0,2.62
NBA 2K12,Sports,X360,7.7,90.0,2.62
FIFA Soccer 10,Sports,X360,7.5,90.0,2.62
Medal of Honor,Shooter,X360,6.7,74.0,2.61
Harry Potter and the Chamber of Secrets,Action,PS2,7.6,71.0,2.61
God of War Collection,Action,PS3,8.7,91.0,2.6
NBA Live 2005,Sports,PS2,8.1,84.0,2.59
Mario Strikers Charged,Sports,Wii,8.0,79.0,2.58
FIFA Soccer 09,Sports,PS3,7.5,87.0,2.58
Style Savvy,Simulation,DS,7.7,73.0,2.58
WWE SmackDown vs. RAW 2007,Fighting,PS2,8.6,80.0,2.58
LEGO Star Wars: The Complete Saga,Action,X360,7.4,80.0,2.57
Madden NFL 08,Sports,PS2,7.8,78.0,2.57
Monster Hunter Freedom 2,Role-Playing,PSP,8.7,72.0,2.57
Sonic Adventure 2 Battle,Platform,GC,8.3,73.0,2.56
Madden NFL 13,Sports,PS3,5.5,83.0,2.56
Dragon Age: Origins,Role-Playing,X360,7.9,86.0,2.56
Pokémon Colosseum,Role-Playing,GC,8.0,73.0,2.54
LittleBigPlanet,Platform,PSP,7.8,87.0,2.54
Madden NFL 09,Sports,X360,7.0,83.0,2.53
Crazy Taxi,Racing,PS2,7.9,80.0,2.52
Art Academy,Misc,DS,8.0,75.0,2.52
NBA 2K14,Sports,X360,4.9,87.0,2.52
Skylanders Giants,Action,Wii,7.0,78.0,2.52
Deca Sports,Sports,Wii,5.4,50.0,2.5
Marvel: Ultimate Alliance,Role-Playing,X360,7.5,82.0,2.5
Mortal Kombat: Deadly Alliance,Fighting,PS2,8.8,79.0,2.49
Game Party,Misc,Wii,4.3,25.0,2.48
Bloodborne,Action,PS4,8.6,92.0,2.48
Mario Party 4,Misc,GC,7.4,70.0,2.47
Pure,Racing,X360,7.7,85.0,2.47
Rock Band,Misc,X360,8.2,92.0,2.47
NBA 2K13,Sports,PS3,8.0,90.0,2.47
Saints Row: The Third,Action,PS3,7.7,82.0,2.47
Resistance 2,Shooter,PS3,6.1,87.0,2.46
NBA 2K15,Sports,PS4,7.0,83.0,2.45
Final Fantasy Tactics,Role-Playing,PS,8.2,83.0,2.45
Midnight Club: Los Angeles,Racing,PS3,8.2,82.0,2.45
The Sims: Bustin' Out,Simulation,PS2,8.4,81.0,2.43
LEGO Harry Potter: Years 1-4,Action,Wii,8.0,79.0,2.43
Call of Duty: Infinite Warfare,Shooter,XOne,3.1,78.0,2.42
Madden NFL 16,Sports,XOne,6.1,84.0,2.42
