name,user_score,user_count
Dying Light,7.9,1287.0
Dead Rising,7.6,520.0
World of Warcraft: Cataclysm,5.6,953.0
Tetris Worlds,6.2,11.0
Final Fantasy III,7.1,136.0
Sim Theme Park,8.3,14.0
Mario Party 5,8.2,57.0
Rock Band,6.3,37.0
Portal 2,8.5,997.0
Mario Sports Mix,7.1,34.0
Need for Speed: Most Wanted 5-1-0,7.8,54.0
The Sims 2: Pets,5.2,24.0
Dance Dance Revolution: Hottest Party,7.1,27.0
DriveClub,6.1,1571.0
UFC 2009 Undisputed,7.9,51.0
Metal Gear Solid: Peace Walker,8.9,443.0
R4: Ridge Racer Type 4,9.2,21.0
Kingdom Hearts: Birth by Sleep,8.6,208.0
SoulCalibur II,8.8,120.0
Need for Speed: ProStreet,7.1,78.0
Sonic Mega Collection,8.8,41.0
Madden NFL 15,5.5,29.0
Need For Speed: Undercover,5.9,71.0
SOCOM: U.S. Navy SEALs: Combined Assault,9.0,34.0
Peter Jackson's King Kong: The Official Game of the Movie,8.2,68.0
Need for Speed: ProStreet,6.0,43.0
Donkey Kong Country,8.9,53.0
Dance Central 2,8.2,63.0
Carnival Games,3.3,4.0
NBA Live 2004,7.7,41.0
Call of Duty 2,8.1,307.0
Rayman Raving Rabbids: TV Party,7.7,29.0
Pokémon Mystery Dungeon: Blue Rescue Team,8.1,97.0
Dark Souls,8.7,1397.0
Just Dance 3,7.7,17.0
Battlefield 4,6.6,480.0
Fire Emblem: Awakening,9.1,1130.0
Need for Speed: The Run,6.4,182.0
Just Dance 2015,8.4,5.0
Dragon Age: Inquisition,7.4,1984.0
Dead Space,8.8,545.0
Mortal Kombat vs. DC Universe,7.1,107.0
TouchMaster,5.7,9.0
Tenchu: Stealth Assassins,8.8,45.0
Harry Potter and the Chamber of Secrets,7.9,14.0
Kingdom Hearts 358/2 Days,7.8,162.0
Skate 3,7.6,82.0
Harry Potter and the Chamber of Secrets,8.5,33.0
Need for Speed Rivals,6.2,667.0
Spyro: Enter the Dragonfly,4.1,95.0
Devil May Cry 2,6.6,167.0
Hot Shots Golf: Open Tee,8.7,34.0
Forza Horizon,8.4,431.0
Tom Clancy's Rainbow Six: Vegas,8.3,225.0
Crash Nitro Kart,7.7,59.0
Resident Evil 6,5.0,1407.0
Grand Theft Auto: San Andreas,8.6,118.0
NBA Street Vol. 2,8.8,70.0
Def Jam Vendetta,8.9,41.0
Kirby Squeak Squad,8.1,41.0
Burnout Paradise,7.7,455.0
Scooby Doo and the Cyber Chase,7.4,10.0
The Sims 3,6.4,55.0
FIFA Soccer 09,8.0,106.0
Dragon Ball Z: Budokai 3,8.9,137.0
